user_id,cluster,recency_days,frequency,monetary,aov,discount_share,accessory_share,sessions_90d,tenure_days,cluster_role,pc1,pc2
U000029,2,618,4,206.41,51.6025,0.25,0.1065,0.0,729,핵심 고객,1.1584,2.2654
U000030,2,400,4,141.93,44.9775,0.0,0.4055,0.0,729,핵심 고객,1.6546,2.2204
U000031,0,698,2,34.99,36.485,0.0,0.4795,0.0,729,휴면·이탈 위험,0.3728,1.9236
U000032,0,729,1,29.68,29.68,1.0,0.0,0.0,729,휴면·이탈 위험,-1.584,1.0596
U000033,0,729,1,22.49,22.49,1.0,0.0,0.0,729,휴면·이탈 위험,-1.9097,0.9049
U000034,0,729,1,16.19,16.19,1.0,0.0,0.0,729,휴면·이탈 위험,-2.2905,0.7241
U000035,2,128,7,276.86,39.5514,0.0,0.7004,17.0,729,핵심 고객,4.3699,1.32
U000036,0,694,2,25.18,40.925,1.0,0.3297,0.0,729,휴면·이탈 위험,-0.3578,1.569
U000037,2,607,2,103.94,51.97,0.0,0.4423,0.0,729,핵심 고객,1.0628,2.1812
U000038,0,569,2,36.98,36.03,0.5,0.3675,0.0,729,휴면·이탈 위험,0.0244,1.6441
U000039,2,181,7,147.92,34.6957,0.0,0.3498,3.0,729,핵심 고객,2.6476,1.5139
U000040,2,248,9,578.5,64.2778,0.1111,0.674,0.0,729,핵심 고객,3.8123,2.9388
U000041,2,316,6,159.33,26.555,0.1667,0.1568,1.0,729,핵심 고객,1.4749,1.6616
U000042,0,729,1,22.99,22.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.4669,1.1305
U000043,0,729,1,25.99,25.99,0.0,0.0,0.0,729,휴면·이탈 위험,-1.3232,1.1987
U000044,2,111,16,792.72,49.545,0.0,0.7352,18.0,729,핵심 고객,5.8999,1.9288
U000045,0,729,1,26.08,26.08,1.0,0.0,0.0,729,휴면·이탈 위험,-1.7362,0.9873
U000046,0,728,1,21.99,21.99,0.0,0.0,0.0,728,휴면·이탈 위험,-1.5183,1.1043
U000047,0,728,1,37.98,37.98,0.0,0.0,0.0,728,휴면·이탈 위험,-0.8744,1.4101
U000048,0,728,1,16.99,16.99,0.0,0.0,0.0,728,휴면·이탈 위험,-1.8175,0.9623
U000049,0,728,1,23.99,23.99,0.0,0.0,0.0,728,휴면·이탈 위험,-1.4166,1.1526
U000050,0,728,1,37.78,37.78,1.0,0.0,0.0,728,휴면·이탈 위험,-1.2978,1.1938
U000051,0,728,1,32.98,32.98,0.0,0.0,0.0,728,휴면·이탈 위험,-1.0418,1.3306
U000052,0,301,3,54.77,18.2567,0.6667,0.0,0.0,728,휴면·이탈 위험,-0.6165,1.01
U000053,2,79,5,107.95,48.78,0.0,0.2664,13.0,728,핵심 고객,3.0672,0.5909
U000054,0,728,1,30.98,30.98,0.0,0.0,0.0,728,휴면·이탈 위험,-1.1158,1.2955
U000055,0,728,1,32.98,32.98,0.0,0.0,0.0,728,휴면·이탈 위험,-1.0418,1.3306
U000056,2,169,9,257.9,40.8744,0.2222,0.5082,2.0,728,핵심 고객,3.3328,1.9291
U000057,0,728,1,53.07,53.07,1.0,0.0,0.0,728,휴면·이탈 위험,-0.8924,1.3863
U000058,0,643,2,57.98,28.99,0.5,0.6897,0.0,728,휴면·이탈 위험,0.5937,1.9583
U000059,0,702,2,48.27,24.135,0.5,0.2691,0.0,728,휴면·이탈 위험,-0.4115,1.5741
U000060,0,728,1,16.19,16.19,1.0,0.0,0.0,728,휴면·이탈 위험,-2.2901,0.7226
U000061,0,728,1,13.99,13.99,0.0,0.0,0.0,728,휴면·이탈 위험,-2.04,0.8566
U000062,0,728,1,13.99,13.99,0.0,0.0,0.0,728,휴면·이탈 위험,-2.04,0.8566
U000063,0,126,2,26.98,13.49,0.0,0.0,6.0,728,휴면·이탈 위험,-0.1161,-0.2555
U000064,2,623,3,121.55,40.5167,0.3333,0.4935,0.0,728,핵심 고객,1.1825,2.2412
U000065,2,66,13,1111.7,85.5154,0.1538,0.763,24.0,728,핵심 고객,6.5005,1.7683
U000066,0,728,1,42.28,42.28,1.0,0.0,0.0,728,휴면·이탈 위험,-1.1639,1.2574
U000067,0,728,1,19.79,19.79,1.0,0.0,0.0,728,휴면·이탈 위험,-2.0581,0.8327
U000068,2,723,2,151.74,75.87,0.5,0.2965,0.0,728,핵심 고객,0.9999,2.2589
U000069,2,93,4,100.35,29.085,0.25,0.0,3.0,728,핵심 고객,1.2806,0.5172
U000070,0,728,1,39.98,39.98,0.0,0.0,0.0,728,휴면·이탈 위험,-0.8133,1.4391
U000071,0,728,1,37.98,37.98,0.0,0.0,0.0,728,휴면·이탈 위험,-0.8744,1.4101
U000072,0,728,1,36.98,36.98,0.0,0.5406,0.0,728,휴면·이탈 위험,0.0787,1.8083
U000073,0,728,1,14.99,14.99,0.0,0.0,0.0,728,휴면·이탈 위험,-1.9612,0.894
U000074,2,521,5,121.33,24.266,0.2,0.5634,0.0,728,핵심 고객,1.4381,2.2521
U000075,0,728,1,24.29,24.29,1.0,0.0,0.0,728,휴면·이탈 위험,-1.8192,0.9462
U000076,0,728,1,16.19,16.19,1.0,0.0,0.0,728,휴면·이탈 위험,-2.2901,0.7226
U000077,2,525,7,305.09,43.5843,0.2857,0.4267,0.0,728,핵심 고객,2.2924,2.6735
U000078,0,727,1,22.49,22.49,1.0,0.0,0.0,727,휴면·이탈 위험,-1.9088,0.9019
U000079,0,727,1,12.59,12.59,1.0,0.0,0.0,727,휴면·이탈 위험,-2.5762,0.5849
U000080,0,727,1,41.98,41.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.7548,1.4652
U000081,0,727,1,0.0,29.99,0.0,0.0,0.0,727,휴면·이탈 위험,-2.5794,0.5651
U000082,0,727,1,24.29,24.29,1.0,0.0,0.0,727,휴면·이탈 위험,-1.8187,0.9447
U000083,0,727,1,25.99,25.99,0.0,0.0,0.0,727,휴면·이탈 위험,-1.3222,1.1957
U000084,0,711,2,49.98,24.99,0.0,0.0,0.0,727,휴면·이탈 위험,-0.6553,1.4995
U000085,0,727,1,35.98,35.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.9382,1.3781
U000086,2,696,3,90.95,30.3167,0.0,0.4396,0.0,727,핵심 고객,0.8492,2.1566
U000087,0,727,1,41.98,41.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.7548,1.4652
U000088,0,727,1,37.98,37.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.8739,1.4086
U000089,0,727,1,34.98,34.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.9716,1.3622
U000090,0,727,1,33.28,33.28,1.0,0.0,0.0,727,휴면·이탈 위험,-1.4477,1.1208
U000091,0,727,1,13.99,13.99,0.0,0.0,0.0,727,휴면·이탈 위험,-2.0395,0.8551
U000092,0,727,1,29.68,29.68,1.0,0.0,0.0,727,휴면·이탈 위험,-1.5831,1.0566
U000093,0,727,1,32.98,32.98,0.0,0.0,0.0,727,휴면·이탈 위험,-1.0413,1.3291
U000094,0,569,2,37.98,18.99,0.0,0.0,0.0,727,휴면·이탈 위험,-0.9214,1.2439
U000095,0,727,1,45.98,45.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.6462,1.5168
U000096,0,539,5,139.94,27.988,0.0,0.0,0.0,727,휴면·이탈 위험,0.656,1.9593
U000097,2,566,4,213.93,53.4825,0.0,0.4673,0.0,727,핵심 고객,1.9855,2.5729
U000098,0,727,1,16.99,16.99,0.0,0.0,0.0,727,휴면·이탈 위험,-1.817,0.9607
U000099,0,727,1,11.69,11.69,1.0,0.0,0.0,727,휴면·이탈 위험,-2.6598,0.5452
U000100,2,427,9,293.61,32.6233,0.2222,0.4188,0.0,727,핵심 고객,2.3494,2.5804
U000101,0,727,1,62.07,62.07,1.0,0.3623,0.0,727,휴면·이탈 위험,-0.0441,1.751
U000102,0,727,1,31.98,31.98,0.0,0.0,0.0,727,휴면·이탈 위험,-1.0778,1.3118
U000103,0,726,2,94.95,47.475,0.0,0.0,0.0,727,휴면·이탈 위험,0.1035,1.872
U000104,0,727,1,23.99,23.99,0.0,0.0,0.0,727,휴면·이탈 위험,-1.4161,1.1511
U000105,2,690,3,174.92,58.3067,0.0,0.2857,0.0,727,핵심 고객,1.3542,2.407
U000106,0,727,1,26.99,26.99,1.0,0.0,0.0,727,휴면·이탈 위험,-1.695,1.0034
U000107,0,727,1,25.18,25.18,1.0,0.0,0.0,727,휴면·이탈 위험,-1.7765,0.9647
U000108,0,727,1,49.98,49.98,0.0,0.0,0.0,727,휴면·이탈 위험,-0.5466,1.5641
U000109,0,705,2,34.18,17.09,0.5,0.0,0.0,727,휴면·이탈 위험,-1.3072,1.1773
U000110,2,246,7,267.87,38.2671,0.0,0.6083,7.0,727,핵심 고객,3.6558,1.7867
U000111,0,727,1,61.97,61.97,0.0,0.0,0.0,727,휴면·이탈 위험,-0.289,1.6864
U000112,0,727,1,11.69,11.69,1.0,0.0,0.0,727,휴면·이탈 위험,-2.6598,0.5452
U000113,0,451,3,75.97,41.9833,0.0,0.2381,0.0,727,휴면·이탈 위험,0.7729,1.8844
U000114,0,535,3,102.96,34.32,0.0,0.0,0.0,727,휴면·이탈 위험,0.2628,1.77
U000115,0,727,1,16.19,16.19,1.0,0.0,0.0,727,휴면·이탈 위험,-2.2896,0.721
U000116,0,726,1,23.99,23.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.4157,1.1496
U000117,0,726,1,24.99,24.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.3678,1.1723
U000118,0,726,1,42.98,42.98,0.0,0.0,0.0,726,휴면·이탈 위험,-0.7263,1.477
U000119,2,536,3,106.45,35.4833,0.3333,0.5353,0.0,726,핵심 고객,1.1383,2.1269
U000120,0,726,1,16.19,16.19,1.0,0.0,0.0,726,휴면·이탈 위험,-2.2891,0.7195
U000121,0,726,1,37.98,37.98,0.0,0.0,0.0,726,휴면·이탈 위험,-0.8735,1.4071
U000122,0,726,1,17.99,17.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.7506,0.9906
U000123,0,640,3,29.98,14.99,0.0,0.0,0.0,726,휴면·이탈 위험,-0.9227,1.3058
U000124,0,726,1,16.19,16.19,1.0,0.0,0.0,726,휴면·이탈 위험,-2.2891,0.7195
U000125,2,34,13,568.76,61.3608,0.0,0.6592,20.0,726,핵심 고객,5.9255,1.2165
U000126,2,243,4,116.95,29.2375,0.0,0.7265,0.0,726,핵심 고객,1.9488,2.0388
U000127,2,96,18,1609.45,89.4139,0.0,0.7746,18.0,726,핵심 고객,6.8873,2.3069
U000128,2,232,10,820.73,90.07,0.1,0.7481,0.0,726,핵심 고객,4.4826,3.207
U000129,0,726,1,0.0,26.09,1.0,0.0,0.0,726,휴면·이탈 위험,-3.1042,0.3001
U000130,0,726,1,39.98,39.98,0.0,0.0,0.0,726,휴면·이탈 위험,-0.8124,1.4361
U000131,0,726,1,19.79,19.79,1.0,0.0,0.0,726,휴면·이탈 위험,-2.0572,0.8296
U000132,2,324,5,245.88,49.176,0.0,0.248,0.0,726,핵심 고객,1.9107,2.2346
U000133,0,611,2,29.98,14.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.2143,1.1451
U000134,0,726,1,14.39,14.39,1.0,0.0,0.0,726,휴면·이탈 위험,-2.424,0.6554
U000135,0,726,1,25.19,25.19,1.0,0.0,0.0,726,휴면·이탈 위험,-1.7756,0.9634
U000136,0,726,1,29.99,29.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.1532,1.2742
U000137,0,726,1,20.69,20.69,1.0,0.0,0.0,726,휴면·이탈 위험,-2.0055,0.8542
U000138,0,726,1,24.99,24.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.3678,1.1723
U000139,0,726,1,25.19,25.19,1.0,0.0,0.0,726,휴면·이탈 위험,-1.7756,0.9634
U000140,2,713,2,111.96,55.98,0.0,0.5358,0.0,726,핵심 고객,1.2821,2.3664
U000141,2,79,11,371.86,42.8936,0.1818,0.5763,8.0,726,핵심 고객,4.5104,1.4719
U000142,0,726,1,36.98,36.98,0.0,0.0,0.0,726,휴면·이탈 위험,-0.9051,1.392
U000143,0,726,1,27.88,27.88,1.0,0.0,0.0,726,휴면·이탈 위험,-1.6563,1.02
U000144,0,726,1,20.69,20.69,1.0,0.0,0.0,726,휴면·이탈 위험,-2.0055,0.8542
U000145,2,569,5,275.87,55.174,0.0,0.5001,0.0,726,핵심 고객,2.3659,2.7516
U000146,0,726,1,16.19,16.19,1.0,0.0,0.0,726,휴면·이탈 위험,-2.2891,0.7195
U000147,0,726,1,28.99,28.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.1932,1.2552
U000148,0,726,1,23.99,23.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.4157,1.1496
U000149,0,726,1,35.98,35.98,1.0,0.0,0.0,726,휴면·이탈 위험,-1.3548,1.1632
U000150,0,726,1,22.99,22.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.4655,1.1259
U000151,0,726,1,21.59,21.59,1.0,0.0,0.0,726,휴면·이탈 위험,-1.9559,0.8777
U000152,0,705,2,66.98,54.63,0.5,0.366,0.0,726,휴면·이탈 위험,0.5369,2.0107
U000153,0,726,1,23.99,23.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.4157,1.1496
U000154,0,726,1,22.49,22.49,1.0,0.0,0.0,726,휴면·이탈 위험,-1.9083,0.9004
U000155,0,726,1,39.98,39.98,0.0,0.0,0.0,726,휴면·이탈 위험,-0.8124,1.4361
U000156,0,681,2,41.97,20.985,0.5,0.0,0.0,726,휴면·이탈 위험,-1.0584,1.2745
U000157,0,726,1,63.97,63.97,0.0,0.3907,0.0,726,휴면·이탈 위험,0.4613,2.0017
U000158,2,163,7,198.4,28.3429,0.1429,0.3401,10.0,726,핵심 고객,2.9874,1.0899
U000159,0,726,1,35.98,35.98,1.0,0.0,0.0,726,휴면·이탈 위험,-1.3548,1.1632
U000160,2,194,8,425.83,53.2288,0.0,0.6643,0.0,726,핵심 고객,3.5162,2.6566
U000161,0,726,1,36.98,36.98,0.0,0.0,0.0,726,휴면·이탈 위험,-0.9051,1.392
U000162,0,726,1,21.99,21.99,0.0,0.0,0.0,726,휴면·이탈 위험,-1.5174,1.1013
U000163,0,726,1,13.99,13.99,0.0,0.0,0.0,726,휴면·이탈 위험,-2.039,0.8535
U000164,0,725,1,24.28,24.28,1.0,0.0,0.0,725,휴면·이탈 위험,-1.8183,0.9414
U000165,2,710,2,105.96,52.98,0.0,0.3774,0.0,725,핵심 고객,0.9285,2.2111
U000166,0,725,1,27.88,27.88,1.0,0.0,0.0,725,휴면·이탈 위험,-1.6559,1.0185
U000167,0,725,1,42.28,42.28,1.0,0.4681,0.0,725,휴면·이탈 위험,-0.3098,1.6106
U000168,0,710,2,30.98,15.49,0.0,0.0,0.0,725,휴면·이탈 위험,-1.2143,1.2312
U000169,2,49,23,1292.37,56.8417,0.0435,0.7265,26.0,725,핵심 고객,6.894,1.7444
U000170,0,725,1,42.98,42.98,0.0,0.0,0.0,725,휴면·이탈 위험,-0.7258,1.4755
U000171,2,560,3,93.76,31.2533,0.3333,0.693,0.0,725,핵심 고객,1.2634,2.1948
U000172,2,243,11,835.4,78.1264,0.1818,0.6671,0.0,725,핵심 고객,4.2754,3.1414
U000173,0,725,1,16.99,16.99,0.0,0.0,0.0,725,휴면·이탈 위험,-1.8161,0.9577
U000174,2,707,2,140.44,70.22,0.5,0.5694,0.0,725,핵심 고객,1.4098,2.4102
U000175,0,725,1,15.29,15.29,1.0,0.0,0.0,725,휴면·이탈 위험,-2.3543,0.6868
U000176,0,725,1,10.79,10.79,1.0,0.0,0.0,725,휴면·이탈 위험,-2.7486,0.4996
U000177,0,725,1,19.99,19.99,0.0,0.0,0.0,725,휴면·이탈 위험,-1.628,1.047
U000178,0,539,2,111.95,55.975,0.0,0.0,0.0,725,휴면·이탈 위험,0.3768,1.8274
U000179,0,725,1,54.97,54.97,0.0,0.0,0.0,725,휴면·이탈 위험,-0.4318,1.6151
U000180,0,725,1,35.98,35.98,0.0,0.0,0.0,725,휴면·이탈 위험,-0.9372,1.3751
U000181,0,725,1,29.99,29.99,0.0,0.0,0.0,725,휴면·이탈 위험,-1.1528,1.2727
U000182,0,603,3,45.67,15.2233,0.3333,0.4377,0.0,725,휴면·이탈 위험,-0.0673,1.6312
U000183,0,725,1,12.59,12.59,1.0,0.0,0.0,725,휴면·이탈 위험,-2.5753,0.5819
U000184,0,725,1,20.69,20.69,1.0,0.0,0.0,725,휴면·이탈 위험,-2.0051,0.8527
U000185,0,719,2,46.98,23.49,0.0,0.0,0.0,725,휴면·이탈 위험,-0.7309,1.4682
U000186,0,725,1,26.99,26.99,1.0,0.0,0.0,725,휴면·이탈 위험,-1.6941,1.0004
U000187,2,102,4,92.95,23.2375,0.25,0.2151,5.0,725,핵심 고객,1.6153,0.4954
U000188,0,725,1,16.19,16.19,1.0,0.0,0.0,725,휴면·이탈 위험,-2.2887,0.718
U000189,2,342,8,360.96,45.12,0.125,0.3185,0.0,725,핵심 고객,2.4922,2.53
U000190,0,52,2,32.98,16.49,0.0,0.0,5.0,725,휴면·이탈 위험,0.2728,-0.5008
U000191,0,725,1,17.99,17.99,0.0,0.0,0.0,725,휴면·이탈 위험,-1.7501,0.989
U000192,0,725,1,13.49,13.49,1.0,0.0,0.0,725,휴면·이탈 위험,-2.4971,0.619
U000193,2,613,3,116.45,38.8167,0.3333,0.3863,0.0,725,핵심 고객,0.9404,2.1248
U000194,2,713,2,184.94,92.47,0.0,0.7838,0.0,725,핵심 고객,2.3391,2.8425
U000195,0,725,1,26.98,26.98,1.0,0.0,0.0,725,휴면·이탈 위험,-1.6945,1.0002
U000196,0,725,1,0.0,17.99,0.0,0.0,0.0,725,휴면·이탈 위험,-2.9724,0.3797
U000197,0,725,1,21.59,21.59,1.0,0.0,0.0,725,휴면·이탈 위험,-1.9555,0.8762
U000198,0,725,1,31.98,31.98,0.0,0.0,0.0,725,휴면·이탈 위험,-1.0769,1.3088
U000199,0,723,2,65.97,32.985,0.0,0.0,0.0,725,휴면·이탈 위험,-0.3302,1.6617
U000200,2,287,11,454.5,47.6791,0.0909,0.7319,0.0,725,핵심 고객,3.7462,2.98
U000201,0,725,1,17.99,17.99,0.0,0.0,0.0,725,휴면·이탈 위험,-1.7501,0.989
U000202,0,725,1,26.98,26.98,1.0,0.0,0.0,725,휴면·이탈 위험,-1.6945,1.0002
U000203,0,610,2,43.17,21.585,0.5,0.0,0.0,725,휴면·이탈 위험,-0.9973,1.2387
U000204,2,519,6,236.9,43.1483,0.0,0.5637,0.0,725,핵심 고객,2.4111,2.7107
U000205,0,704,2,76.96,38.48,0.0,0.2857,0.0,725,휴면·이탈 위험,0.3807,1.9552
U000206,0,725,1,47.98,47.98,0.0,0.0,0.0,725,휴면·이탈 위험,-0.5945,1.5379
U000207,0,725,1,31.98,31.98,0.0,0.0,0.0,725,휴면·이탈 위험,-1.0769,1.3088
U000208,0,725,1,11.99,11.99,0.0,0.0,0.0,725,휴면·이탈 위험,-2.2132,0.7691
U000209,2,669,2,54.98,37.485,0.0,0.7334,0.0,724,핵심 고객,1.0511,2.195
U000210,0,714,2,21.99,25.985,0.0,0.4231,0.0,724,휴면·이탈 위험,-0.1856,1.6714
U000211,0,724,1,30.58,30.58,1.0,0.0,0.0,724,휴면·이탈 위험,-1.5464,1.0687
U000212,0,724,1,32.38,32.38,1.0,0.0,0.0,724,휴면·이탈 위험,-1.4788,1.1009
U000213,0,724,1,30.58,30.58,1.0,0.0,0.0,724,휴면·이탈 위험,-1.5464,1.0687
U000214,0,724,1,35.98,35.98,1.0,0.0,0.0,724,휴면·이탈 위험,-1.3539,1.1602
U000215,0,724,1,20.69,20.69,1.0,0.0,0.0,724,휴면·이탈 위험,-2.0046,0.8511
U000216,0,572,2,72.77,36.385,0.5,0.4808,0.0,724,휴면·이탈 위험,0.5134,1.8696
U000217,0,724,1,21.99,21.99,0.0,0.0,0.0,724,휴면·이탈 위험,-1.5165,1.0982
U000218,0,724,1,16.99,16.99,0.0,0.0,0.0,724,휴면·이탈 위험,-1.8156,0.9562
U000219,0,724,1,36.88,36.88,1.0,0.0,0.0,724,휴면·이탈 위험,-1.3246,1.1741
U000220,2,724,1,82.97,82.97,0.0,0.482,0.0,724,핵심 고객,0.9415,2.217
U000221,0,724,1,36.98,36.98,0.0,0.0,0.0,724,휴면·이탈 위험,-0.9042,1.389
U000222,2,712,2,117.96,58.98,0.0,0.8644,0.0,724,핵심 고객,1.9441,2.645
U000223,0,724,1,32.98,32.98,0.0,0.0,0.0,724,휴면·이탈 위험,-1.04,1.3245
U000224,0,724,1,17.99,17.99,0.0,0.0,0.0,724,휴면·이탈 위험,-1.7496,0.9875
U000225,0,703,2,29.18,14.59,0.5,0.4452,0.0,724,휴면·이탈 위험,-0.6785,1.4265
U000226,0,724,1,37.98,37.98,0.0,0.0,0.0,724,휴면·이탈 위험,-0.8725,1.4041
U000227,0,724,1,17.99,17.99,0.0,0.0,0.0,724,휴면·이탈 위험,-1.7496,0.9875
U000228,0,724,1,44.98,44.98,0.0,0.0,0.0,724,휴면·이탈 위험,-0.6711,1.4997
U000229,0,724,1,30.58,30.58,1.0,0.0,0.0,724,휴면·이탈 위험,-1.5464,1.0687
U000230,0,696,2,70.97,35.485,0.0,0.0,0.0,724,휴면·이탈 위험,-0.2335,1.6847
U000231,2,20,11,580.26,52.7509,0.0909,0.4453,15.0,724,핵심 고객,5.2392,0.7577
U000232,0,724,1,31.98,31.98,0.0,0.0,0.0,724,휴면·이탈 위험,-1.0764,1.3072
U000233,2,246,8,333.64,44.4538,0.25,0.3837,0.0,724,핵심 고객,2.5978,2.3796
U000234,2,64,9,248.86,27.6511,0.1111,0.5341,9.0,724,핵심 고객,3.8587,0.9938
U000235,0,724,1,0.0,17.99,0.0,0.0,0.0,724,휴면·이탈 위험,-2.972,0.3782
U000236,0,724,1,0.0,38.98,0.0,0.0,0.0,724,휴면·이탈 위험,-2.3731,0.6553
U000237,0,598,3,91.95,30.65,0.0,0.2174,0.0,724,휴면·이탈 위험,0.4962,1.9206
U000238,0,724,1,41.37,41.37,1.0,0.0,0.0,724,휴면·이탈 위험,-1.1879,1.239
U000239,0,723,1,51.98,51.98,0.0,0.0,0.0,723,휴면·이탈 위험,-0.4978,1.5803
U000240,2,261,7,361.84,51.6914,0.0,0.4199,0.0,723,핵심 고객,2.7815,2.5015
U000241,0,723,1,23.99,23.99,0.0,0.0,0.0,723,휴면·이탈 위험,-1.4143,1.145
U000242,0,723,1,19.99,19.99,0.0,0.0,0.0,723,휴면·이탈 위험,-1.627,1.044
U000243,0,391,3,117.45,39.15,0.3333,0.1702,0.0,723,휴면·이탈 위험,0.6709,1.7562
U000244,0,723,1,22.49,22.49,1.0,0.0,0.0,723,휴면·이탈 위험,-1.9069,0.8958
U000245,2,43,11,324.89,33.5427,0.2727,0.2275,6.0,723,핵심 고객,3.6343,0.8714
U000246,2,358,3,57.97,19.3233,0.6667,0.612,2.0,723,핵심 고객,0.9854,1.2338
U000247,0,723,1,24.99,24.99,0.0,0.0,0.0,723,휴면·이탈 위험,-1.3664,1.1677
U000248,0,723,1,32.98,32.98,0.0,0.0,0.0,723,휴면·이탈 위험,-1.0395,1.323
U000249,0,723,1,11.99,11.99,0.0,0.0,0.0,723,휴면·이탈 위험,-2.2123,0.766
U000250,0,723,1,19.79,19.79,1.0,0.0,0.0,723,휴면·이탈 위험,-2.0558,0.8251
U000251,0,723,1,29.98,29.98,0.0,0.0,0.0,723,휴면·이탈 위험,-1.1522,1.2695
U000252,0,604,2,49.98,24.99,0.0,0.0,0.0,723,휴면·이탈 위험,-0.6135,1.421
U000253,0,717,2,59.97,29.985,0.5,0.0,0.0,723,휴면·이탈 위험,-0.6498,1.4956
U000254,2,663,2,114.76,57.38,0.5,0.5662,0.0,723,핵심 고객,1.1774,2.261
U000255,0,723,1,27.99,27.99,0.0,0.0,0.0,723,휴면·이탈 위험,-1.2332,1.231
U000256,0,546,2,52.97,26.485,0.0,0.0,0.0,723,휴면·이탈 위험,-0.5193,1.4073
U000257,0,723,1,36.98,36.98,0.0,0.0,0.0,723,휴면·이탈 위험,-0.9038,1.3875
U000258,0,723,1,0.0,48.58,1.0,0.0,0.0,723,휴면·이탈 위험,-2.6166,0.5206
U000259,0,723,1,20.69,20.69,1.0,0.0,0.0,723,휴면·이탈 위험,-2.0041,0.8496
U000260,2,588,2,107.96,53.98,0.0,0.3704,0.0,723,핵심 고객,0.9862,2.128
U000261,0,723,1,63.97,63.97,0.0,0.0,0.0,723,휴면·이탈 위험,-0.249,1.6984
