cohort_month,month_index,cohort_size,active_users,retention_pct,change_vs_prev_pp
2025-06-01,0,920,920,100.0,
2025-06-01,1,920,76,8.3,
2025-06-01,2,920,85,9.2,1.0
2025-06-01,3,920,99,10.8,1.5
2025-06-01,4,920,66,7.2,-3.6
2025-06-01,5,920,64,7.0,-0.2
2025-06-01,6,920,69,7.5,0.5
2025-07-01,0,1159,1159,100.0,
2025-07-01,1,1159,109,9.4,
2025-07-01,2,1159,146,12.6,3.2
2025-07-01,3,1159,104,9.0,-3.6
2025-07-01,4,1159,101,8.7,-0.3
2025-07-01,5,1159,109,9.4,0.7
2025-07-01,6,1159,82,7.1,-2.3
2025-08-01,0,1192,1192,100.0,
2025-08-01,1,1192,160,13.4,
2025-08-01,2,1192,112,9.4,-4.0
2025-08-01,3,1192,100,8.4,-1.0
2025-08-01,4,1192,129,10.8,2.4
2025-08-01,5,1192,83,7.0,-3.9
2025-08-01,6,1192,67,5.6,-1.3
2025-09-01,0,1394,1394,100.0,
2025-09-01,1,1394,138,9.9,
2025-09-01,2,1394,117,8.4,-1.5
2025-09-01,3,1394,148,10.6,2.2
2025-09-01,4,1394,110,7.9,-2.7
2025-09-01,5,1394,76,5.5,-2.4
2025-09-01,6,1394,114,8.2,2.7
2025-10-01,0,1403,1403,100.0,
2025-10-01,1,1403,158,11.3,
2025-10-01,2,1403,153,10.9,-0.4
2025-10-01,3,1403,115,8.2,-2.7
2025-10-01,4,1403,97,6.9,-1.3
2025-10-01,5,1403,128,9.1,2.2
2025-10-01,6,1403,82,5.8,-3.3
2025-11-01,0,1543,1543,100.0,
2025-11-01,1,1543,222,14.4,
2025-11-01,2,1543,144,9.3,-5.1
2025-11-01,3,1543,114,7.4,-1.9
2025-11-01,4,1543,149,9.7,2.3
2025-11-01,5,1543,82,5.3,-4.3
2025-11-01,6,1543,73,4.7,-0.6
2025-12-01,0,1940,1940,100.0,
2025-12-01,1,1940,189,9.7,
2025-12-01,2,1940,140,7.2,-2.5
2025-12-01,3,1940,228,11.8,4.5
2025-12-01,4,1940,132,6.8,-4.9
2025-12-01,5,1940,100,5.2,-1.6
2025-12-01,6,1940,92,4.7,-0.4
2026-01-01,0,1440,1440,100.0,
2026-01-01,1,1440,130,9.0,
2026-01-01,2,1440,178,12.4,3.3
2026-01-01,3,1440,112,7.8,-4.6
2026-01-01,4,1440,77,5.3,-2.4
2026-01-01,5,1440,72,5.0,-0.3
2026-01-01,6,1440,67,4.7,-0.3
2026-02-01,0,1213,1213,100.0,
2026-02-01,1,1213,193,15.9,
2026-02-01,2,1213,91,7.5,-8.4
2026-02-01,3,1213,69,5.7,-1.8
2026-02-01,4,1213,75,6.2,0.5
2026-02-01,5,1213,78,6.4,0.2
2026-02-01,6,1213,78,6.4,0.0
2026-03-01,0,1300,1300,100.0,
2026-03-01,1,1300,118,9.1,
2026-03-01,2,1300,97,7.5,-1.6
2026-03-01,3,1300,85,6.5,-0.9
2026-03-01,4,1300,70,5.4,-1.2
2026-03-01,5,1300,84,6.5,1.1
2026-04-01,0,1131,1131,100.0,
2026-04-01,1,1131,86,7.6,
2026-04-01,2,1131,89,7.9,0.3
2026-04-01,3,1131,90,8.0,0.1
2026-04-01,4,1131,78,6.9,-1.1
2026-05-01,0,1161,1161,100.0,
2026-05-01,1,1161,98,8.4,
2026-05-01,2,1161,106,9.1,0.7
2026-05-01,3,1161,95,8.2,-0.9
2026-06-01,0,1120,1120,100.0,
2026-06-01,1,1120,104,9.3,
2026-06-01,2,1120,98,8.8,-0.5
2026-07-01,0,1318,1318,100.0,
2026-07-01,1,1318,129,9.8,
2026-08-01,0,1512,1512,100.0,
