cohort_month,cohort_size,month_index,active_users,retention_pct
2025-08,1192,0,1192,100.0
2025-08,1192,1,160,13.4
2025-08,1192,2,112,9.4
2025-08,1192,3,100,8.4
2025-08,1192,4,129,10.8
2025-08,1192,5,83,7.0
2025-08,1192,6,67,5.6
2025-08,1192,7,94,7.9
2025-08,1192,8,54,4.5
2025-08,1192,9,40,3.4
2025-08,1192,10,64,5.4
2025-08,1192,11,50,4.2
2025-08,1192,12,59,4.9
2025-09,1394,0,1394,100.0
2025-09,1394,1,138,9.9
2025-09,1394,2,117,8.4
2025-09,1394,3,148,10.6
2025-09,1394,4,110,7.9
2025-09,1394,5,76,5.5
2025-09,1394,6,114,8.2
2025-09,1394,7,68,4.9
2025-09,1394,8,55,3.9
2025-09,1394,9,43,3.1
2025-09,1394,10,47,3.4
2025-09,1394,11,44,3.2
2025-10,1403,0,1403,100.0
2025-10,1403,1,158,11.3
2025-10,1403,2,153,10.9
2025-10,1403,3,115,8.2
2025-10,1403,4,97,6.9
2025-10,1403,5,128,9.1
2025-10,1403,6,82,5.8
2025-10,1403,7,53,3.8
2025-10,1403,8,49,3.5
2025-10,1403,9,64,4.6
2025-10,1403,10,65,4.6
2025-11,1543,0,1543,100.0
2025-11,1543,1,222,14.4
2025-11,1543,2,144,9.3
2025-11,1543,3,114,7.4
2025-11,1543,4,149,9.7
2025-11,1543,5,82,5.3
2025-11,1543,6,73,4.7
2025-11,1543,7,80,5.2
2025-11,1543,8,65,4.2
2025-11,1543,9,74,4.8
2025-12,1940,0,1940,100.0
2025-12,1940,1,189,9.7
2025-12,1940,2,140,7.2
2025-12,1940,3,228,11.8
2025-12,1940,4,132,6.8
2025-12,1940,5,100,5.2
2025-12,1940,6,92,4.7
2025-12,1940,7,93,4.8
2025-12,1940,8,88,4.5
2026-01,1440,0,1440,100.0
2026-01,1440,1,130,9.0
2026-01,1440,2,178,12.4
2026-01,1440,3,112,7.8
2026-01,1440,4,77,5.3
2026-01,1440,5,72,5.0
2026-01,1440,6,67,4.7
2026-01,1440,7,64,4.4
2026-02,1213,0,1213,100.0
2026-02,1213,1,193,15.9
2026-02,1213,2,91,7.5
2026-02,1213,3,69,5.7
2026-02,1213,4,75,6.2
2026-02,1213,5,78,6.4
2026-02,1213,6,78,6.4
2026-03,1300,0,1300,100.0
2026-03,1300,1,118,9.1
2026-03,1300,2,97,7.5
2026-03,1300,3,85,6.5
2026-03,1300,4,70,5.4
2026-03,1300,5,84,6.5
2026-04,1131,0,1131,100.0
2026-04,1131,1,86,7.6
2026-04,1131,2,89,7.9
2026-04,1131,3,90,8.0
2026-04,1131,4,78,6.9
2026-05,1161,0,1161,100.0
2026-05,1161,1,98,8.4
2026-05,1161,2,106,9.1
2026-05,1161,3,95,8.2
2026-06,1120,0,1120,100.0
2026-06,1120,1,104,9.3
2026-06,1120,2,98,8.8
2026-07,1318,0,1318,100.0
2026-07,1318,1,129,9.8
2026-08,1512,0,1512,100.0
