week_start,country,days,demand_index,spend_eur,new_paid_customers,first_order_revenue_eur,cac_eur,first_order_roas,ctr
2025-03-23,DE,7,0.91,1541.23,93,3259.53,16.57,2.115,0.01327
2025-03-30,DE,7,0.927,1526.41,96,3525.77,15.9,2.31,0.01313
2025-04-06,DE,7,0.867,1549.11,94,3747.36,16.48,2.419,0.01419
2025-04-13,DE,7,0.927,1509.71,94,3649.8,16.06,2.418,0.01375
2025-04-20,DE,7,0.913,1563.79,113,3714.76,13.84,2.375,0.01357
2025-04-27,DE,7,0.837,1512.95,89,3084.84,17.0,2.039,0.01378
2025-05-04,DE,7,0.891,1490.77,112,3945.55,13.31,2.647,0.01356
2025-05-11,DE,7,0.903,1492.95,105,3567.89,14.22,2.39,0.01365
2025-05-18,DE,7,0.894,1477.24,81,2630.71,18.24,1.781,0.01288
2025-05-25,DE,7,0.913,1522.76,109,3597.17,13.97,2.362,0.01409
2025-06-01,DE,7,0.894,1564.44,101,3031.84,15.49,1.938,0.01428
2025-06-08,DE,7,0.876,1583.12,92,3054.52,17.21,1.929,0.01401
2025-06-15,DE,7,0.846,1588.27,89,3092.73,17.85,1.947,0.01312
2025-06-22,DE,7,0.856,1528.24,88,2817.6,17.37,1.844,0.01317
2025-06-29,DE,7,0.844,1528.44,85,3128.27,17.98,2.047,0.01311
2025-07-06,DE,7,0.982,1561.84,125,4510.64,12.49,2.888,0.01362
2025-07-13,DE,7,0.953,1536.46,96,3229.61,16.0,2.102,0.01403
2025-07-20,DE,7,0.939,1553.22,89,2861.38,17.45,1.842,0.01403
2025-07-27,DE,7,0.942,1539.01,111,3725.82,13.86,2.421,0.01417
2025-08-03,DE,7,0.965,1566.24,123,4617.13,12.73,2.948,0.01386
2025-08-10,DE,7,0.925,1540.2,114,3791.57,13.51,2.462,0.01316
2025-08-17,DE,7,0.935,1557.97,82,2695.23,19.0,1.73,0.01343
2025-08-24,DE,7,0.942,1605.71,111,3734.77,14.47,2.326,0.01458
2025-08-31,DE,7,0.922,1666.06,95,3382.1,17.54,2.03,0.01363
2025-09-07,DE,7,1.164,1596.39,119,4029.16,13.42,2.524,0.01455
2025-09-14,DE,7,1.142,1620.52,123,4261.44,13.17,2.63,0.01394
2025-09-21,DE,7,1.251,1584.41,143,4833.08,11.08,3.05,0.01511
2025-09-28,DE,7,1.099,1599.66,149,5111.79,10.74,3.196,0.01466
2025-10-05,DE,7,1.09,1545.87,129,4189.1,11.98,2.71,0.01464
2025-10-12,DE,7,1.105,1604.95,118,3909.08,13.6,2.436,0.01424
2025-10-19,DE,7,1.052,1576.0,106,3376.55,14.87,2.142,0.01465
2025-10-26,DE,7,1.009,1550.67,103,3671.16,15.06,2.367,0.01373
2025-11-02,DE,7,1.148,1635.37,150,4915.3,10.9,3.006,0.01451
2025-11-09,DE,7,1.124,1650.26,140,4760.01,11.79,2.884,0.01457
2025-11-16,DE,7,1.308,1658.46,138,4830.42,12.02,2.913,0.01527
2025-11-23,DE,7,1.448,1598.89,167,4624.71,9.57,2.892,0.01512
2025-11-30,DE,7,1.442,1588.57,191,6319.43,8.32,3.978,0.0154
2025-12-07,DE,7,1.33,1551.67,175,5898.91,8.87,3.802,0.01565
2025-12-14,DE,7,1.337,1619.27,157,5248.99,10.31,3.242,0.01576
2025-12-21,DE,7,1.498,1588.66,203,7085.44,7.83,4.46,0.01702
2025-12-28,DE,7,1.234,1612.69,144,4501.71,11.2,2.791,0.01451
2026-01-04,DE,7,1.075,1609.93,112,3976.49,14.37,2.47,0.0144
2026-01-11,DE,7,1.022,1557.61,115,3888.41,13.54,2.496,0.01432
2026-01-18,DE,7,1.011,1591.41,120,3875.37,13.26,2.435,0.01418
2026-01-25,DE,7,0.952,1649.42,125,4344.29,13.2,2.634,0.01462
2026-02-01,DE,7,0.977,1792.21,118,3593.02,15.19,2.005,0.01386
2026-02-08,DE,7,0.926,1730.83,111,3707.2,15.59,2.142,0.01317
2026-02-15,DE,7,0.872,1756.34,87,3196.46,20.19,1.82,0.01343
2026-02-22,DE,7,0.881,1877.05,109,3636.77,17.22,1.937,0.01308
2026-03-01,DE,7,1.016,1613.03,122,4461.59,13.22,2.766,0.01383
2026-03-08,DE,7,1.023,1645.47,122,3992.73,13.49,2.426,0.01417
2026-03-15,DE,7,0.98,1632.48,111,3887.32,14.71,2.381,0.01464
2026-03-22,DE,7,0.954,1642.9,116,4086.14,14.16,2.487,0.01456
2026-03-29,DE,7,0.945,1664.4,114,3930.23,14.6,2.361,0.01392
2026-04-05,DE,7,0.885,1719.59,103,3487.9,16.7,2.028,0.01298
2026-04-12,DE,7,0.875,1718.48,101,3788.42,17.01,2.205,0.01314
2026-04-19,DE,7,0.881,1799.98,111,3945.04,16.22,2.192,0.01292
2026-04-26,DE,7,0.881,1751.33,106,3827.26,16.52,2.185,0.01345
2026-05-03,DE,7,0.888,1700.18,104,3872.7,16.35,2.278,0.01437
2026-05-10,DE,7,0.976,1677.47,122,4849.14,13.75,2.891,0.01389
2026-05-17,DE,7,0.84,1694.96,109,3966.22,15.55,2.34,0.01351
2026-05-24,DE,7,0.844,1691.73,102,4133.78,16.59,2.444,0.01323
2026-05-31,DE,7,0.983,1724.63,124,4678.22,13.91,2.713,0.0142
2026-06-07,DE,7,0.93,1704.16,134,4511.32,12.72,2.647,0.01357
2026-06-14,DE,7,0.794,1781.14,98,3313.16,18.17,1.86,0.01316
2026-06-21,DE,7,0.742,1764.69,82,2683.29,21.52,1.521,0.01301
2026-06-28,DE,7,0.851,1684.5,87,2749.05,19.36,1.632,0.01392
2026-07-05,DE,7,0.93,1670.65,106,3434.12,15.76,2.056,0.01346
2026-07-12,DE,7,0.881,1738.95,114,3627.83,15.25,2.086,0.01371
2026-07-19,DE,7,0.96,1669.77,108,3393.79,15.46,2.032,0.01468
2026-07-26,DE,7,0.953,1715.82,123,3951.77,13.95,2.303,0.01392
2026-08-02,DE,7,0.963,1711.8,131,4475.95,13.07,2.615,0.01317
2026-08-09,DE,7,0.98,1666.52,106,3403.64,15.72,2.042,0.01442
2026-08-16,DE,7,1.124,1751.72,127,4416.92,13.79,2.521,0.01411
2026-08-23,DE,7,1.082,1777.62,129,4362.71,13.78,2.454,0.01424
2024-09-01,IT,7,0.931,774.14,73,2207.93,10.6,2.852,0.0145
2024-09-08,IT,7,1.072,818.41,71,2223.33,11.53,2.717,0.01428
2024-09-15,IT,7,1.033,807.41,57,1768.38,14.17,2.19,0.01425
2024-09-22,IT,7,1.066,800.16,85,2925.78,9.41,3.656,0.01437
2024-09-29,IT,7,1.038,780.77,84,3086.29,9.29,3.953,0.01422
2024-10-06,IT,7,0.925,803.37,59,1934.33,13.62,2.408,0.01365
2024-10-13,IT,7,0.965,794.83,72,2598.71,11.04,3.27,0.01397
2024-10-20,IT,7,0.948,786.44,70,2354.51,11.23,2.994,0.01368
2024-10-27,IT,7,0.965,806.21,78,2649.07,10.34,3.286,0.01444
2024-11-03,IT,7,0.908,815.51,75,2458.46,10.87,3.015,0.01362
2024-11-10,IT,7,0.993,813.45,58,2111.35,14.02,2.596,0.01546
2024-11-17,IT,7,1.044,818.24,71,2261.13,11.52,2.763,0.01532
2024-11-24,IT,7,1.213,809.54,92,2494.27,8.8,3.081,0.01555
2024-12-01,IT,7,1.219,797.45,87,3456.06,9.17,4.334,0.01472
2024-12-08,IT,7,1.326,792.76,100,3258.88,7.93,4.111,0.01505
2024-12-15,IT,7,1.326,816.56,102,3281.35,8.01,4.019,0.01582
2024-12-22,IT,7,1.636,800.23,107,3386.14,7.48,4.231,0.01701
2024-12-29,IT,7,1.253,810.68,90,2886.46,9.01,3.561,0.01529
2025-01-05,IT,7,1.089,818.15,99,3208.86,8.26,3.922,0.0151
2025-01-12,IT,7,1.072,797.72,77,2690.94,10.36,3.373,0.01492
2025-01-19,IT,7,1.055,782.77,89,3204.31,8.8,4.094,0.0144
2025-01-26,IT,7,0.948,817.63,76,2422.81,10.76,2.963,0.01455
2025-02-02,IT,7,0.914,904.52,78,2533.91,11.6,2.801,0.01396
2025-02-09,IT,7,0.869,884.48,74,2441.43,11.95,2.76,0.01399
2025-02-16,IT,7,0.79,909.63,57,2232.26,15.96,2.454,0.01379
2025-02-23,IT,7,0.796,886.41,67,2139.84,13.23,2.414,0.01336
2025-03-02,IT,7,0.824,820.79,55,1918.14,14.92,2.337,0.01397
2025-03-09,IT,7,0.886,827.5,63,2044.43,13.13,2.471,0.01395
2025-03-16,IT,7,0.835,831.25,56,1906.59,14.84,2.294,0.01439
2025-03-23,IT,7,0.796,839.69,69,2491.83,12.17,2.968,0.01364
2025-03-30,IT,7,0.711,835.27,50,1941.45,16.71,2.324,0.01269
2025-04-06,IT,7,0.779,839.7,50,1686.4,16.79,2.008,0.0135
2025-04-13,IT,7,0.796,813.61,44,1562.36,18.49,1.92,0.01346
2025-04-20,IT,7,0.745,846.0,63,1905.82,13.43,2.253,0.01249
2025-04-27,IT,7,0.728,853.66,49,1666.19,17.42,1.952,0.01418
2025-05-04,IT,7,0.756,819.73,60,1760.62,13.66,2.148,0.01353
2025-05-11,IT,7,0.728,863.34,53,1710.15,16.29,1.981,0.01352
2025-05-18,IT,7,0.733,819.43,47,1578.7,17.43,1.927,0.0138
2025-05-25,IT,7,0.717,831.96,52,1958.72,16.0,2.354,0.01342
2025-06-01,IT,7,0.711,864.62,46,1381.48,18.8,1.598,0.01329
2025-06-08,IT,7,0.728,876.6,52,1643.08,16.86,1.874,0.01301
2025-06-15,IT,7,0.762,878.92,52,1670.07,16.9,1.9,0.01306
2025-06-22,IT,7,0.756,857.88,55,1706.92,15.6,1.99,0.01383
2025-06-29,IT,7,0.801,865.87,54,1841.59,16.03,2.127,0.01347
2025-07-06,IT,7,0.976,836.33,95,3345.36,8.8,4.0,0.01395
2025-07-13,IT,7,0.987,833.16,88,3046.31,9.47,3.656,0.0141
2025-07-20,IT,7,0.965,839.12,72,2165.23,11.65,2.58,0.01444
2025-07-27,IT,7,0.908,858.5,64,2090.85,13.41,2.435,0.01477
2025-08-03,IT,7,0.954,844.84,93,3162.21,9.08,3.743,0.01427
2025-08-10,IT,7,0.841,875.25,73,2361.03,11.99,2.698,0.0136
2025-08-17,IT,7,0.92,841.09,75,2632.84,11.21,3.13,0.01419
2025-08-24,IT,7,0.863,868.64,52,1736.94,16.7,2.0,0.01368
2025-08-31,IT,7,0.835,884.5,75,2318.59,11.79,2.621,0.01417
2025-09-07,IT,7,1.202,911.98,81,2896.99,11.26,3.177,0.01421
2025-09-14,IT,7,1.281,880.19,102,3097.36,8.63,3.519,0.01464
2025-09-21,IT,7,1.405,920.57,124,3892.37,7.42,4.228,0.01701
2025-09-28,IT,7,1.123,896.41,102,3368.26,8.79,3.757,0.01478
2025-10-05,IT,7,1.134,894.59,99,3058.69,9.04,3.419,0.01487
2025-10-12,IT,7,1.038,884.33,88,2656.39,10.05,3.004,0.01384
2025-10-19,IT,7,1.01,872.97,63,2117.98,13.86,2.426,0.01438
2025-10-26,IT,7,1.049,903.93,80,2527.75,11.3,2.796,0.01428
2025-11-02,IT,7,1.117,893.33,97,3339.6,9.21,3.738,0.01487
2025-11-09,IT,7,1.134,876.37,94,3350.1,9.32,3.823,0.01399
2025-11-16,IT,7,1.174,961.46,93,2959.04,10.34,3.078,0.01468
2025-11-23,IT,7,1.315,896.81,96,2736.09,9.34,3.051,0.0154
2025-11-30,IT,7,1.405,899.2,105,3212.91,8.56,3.573,0.01506
2025-12-07,IT,7,1.461,876.87,106,3525.96,8.27,4.021,0.01636
2025-12-14,IT,7,1.54,879.75,106,3504.12,8.3,3.983,0.01633
2025-12-21,IT,7,1.834,898.04,166,5291.58,5.41,5.892,0.01719
2025-12-28,IT,7,1.484,909.74,118,3831.89,7.71,4.212,0.01685
2026-01-04,IT,7,1.292,906.73,101,3571.74,8.98,3.939,0.01492
2026-01-11,IT,7,1.174,894.92,99,3510.34,9.04,3.923,0.01529
2026-01-18,IT,7,1.1,906.11,83,2534.19,10.92,2.797,0.01497
2026-01-25,IT,7,0.97,887.03,95,3250.68,9.34,3.665,0.01456
2026-02-01,IT,7,1.044,969.55,84,3080.89,11.54,3.178,0.01423
2026-02-08,IT,7,1.224,989.49,101,3433.01,9.8,3.469,0.01503
2026-02-15,IT,7,1.253,976.25,106,3327.23,9.21,3.408,0.01546
2026-02-22,IT,7,1.106,1025.77,104,3327.1,9.86,3.244,0.01394
2026-03-01,IT,7,0.937,918.92,70,2375.73,13.13,2.585,0.01421
2026-03-08,IT,7,0.987,907.63,84,3112.6,10.81,3.429,0.01419
2026-03-15,IT,7,0.959,920.56,86,2731.41,10.7,2.967,0.01408
2026-03-22,IT,7,0.987,874.51,86,2756.27,10.17,3.152,0.01461
2026-03-29,IT,7,0.908,926.96,71,2545.93,13.06,2.747,0.01408
2026-04-05,IT,7,0.796,974.51,75,2304.27,12.99,2.365,0.01316
2026-04-12,IT,7,0.914,964.53,80,2842.91,12.06,2.947,0.01406
2026-04-19,IT,7,0.818,941.63,55,1677.22,17.12,1.781,0.01349
2026-04-26,IT,7,0.818,948.57,63,2231.66,15.06,2.353,0.01359
2026-05-03,IT,7,0.891,923.38,79,2690.34,11.69,2.914,0.01394
2026-05-10,IT,7,0.869,929.19,68,2596.36,13.66,2.794,0.01401
2026-05-17,IT,7,0.829,931.37,67,2313.09,13.9,2.484,0.01415
2026-05-24,IT,7,0.722,929.23,55,2101.4,16.9,2.261,0.01307
2026-05-31,IT,7,0.773,950.14,76,2520.27,12.5,2.653,0.0135
2026-06-07,IT,7,0.767,1003.36,65,1972.3,15.44,1.966,0.01316
2026-06-14,IT,7,0.875,936.53,76,2207.3,12.32,2.357,0.01382
2026-06-21,IT,7,0.835,956.12,85,3229.24,11.25,3.377,0.01374
2026-06-28,IT,7,0.914,934.01,85,3027.55,10.99,3.241,0.01371
2026-07-05,IT,7,0.942,944.44,104,3043.73,9.08,3.223,0.01396
2026-07-12,IT,7,0.954,946.89,96,2987.34,9.86,3.155,0.01389
2026-07-19,IT,7,0.908,954.71,67,2508.81,14.25,2.628,0.01355
2026-07-26,IT,7,0.999,919.73,90,3053.22,10.22,3.32,0.01424
2026-08-02,IT,7,1.004,998.18,91,2931.67,10.97,2.937,0.01389
2026-08-09,IT,7,1.027,945.09,81,2740.58,11.67,2.9,0.01437
2026-08-16,IT,7,1.117,927.32,105,3628.5,8.83,3.913,0.01456
2026-08-23,IT,7,1.123,944.26,92,3282.47,10.26,3.476,0.01461
