cohort_month,cohort_size,month_index,active_users,retention_pct
2025-01,1262,9,278,22.0
2025-01,1262,10,251,19.9
2025-01,1262,11,234,18.5
2025-01,1262,12,199,15.8
2025-02,972,0,972,100.0
2025-02,972,1,632,65.0
2025-02,972,2,498,51.2
2025-02,972,3,472,48.6
2025-02,972,4,403,41.5
2025-02,972,5,367,37.8
2025-02,972,6,309,31.8
2025-02,972,7,263,27.1
2025-02,972,8,229,23.6
2025-02,972,9,220,22.6
2025-02,972,10,192,19.8
2025-02,972,11,166,17.1
2025-02,972,12,145,14.9
2025-03,1043,0,1043,100.0
2025-03,1043,1,635,60.9
2025-03,1043,2,553,53.0
2025-03,1043,3,484,46.4
2025-03,1043,4,476,45.6
2025-03,1043,5,375,36.0
2025-03,1043,6,316,30.3
2025-03,1043,7,268,25.7
2025-03,1043,8,239,22.9
2025-03,1043,9,214,20.5
2025-03,1043,10,189,18.1
2025-03,1043,11,166,15.9
2025-03,1043,12,159,15.2
2025-04,966,0,966,100.0
2025-04,966,1,588,60.9
2025-04,966,2,507,52.5
2025-04,966,3,469,48.6
2025-04,966,4,396,41.0
2025-04,966,5,327,33.9
2025-04,966,6,292,30.2
2025-04,966,7,263,27.2
2025-04,966,8,233,24.1
2025-04,966,9,207,21.4
2025-04,966,10,180,18.6
2025-04,966,11,168,17.4
2025-04,966,12,143,14.8
2025-05,1006,0,1006,100.0
2025-05,1006,1,624,62.0
2025-05,1006,2,543,54.0
2025-05,1006,3,477,47.4
2025-05,1006,4,442,43.9
2025-05,1006,5,358,35.6
2025-05,1006,6,293,29.1
2025-05,1006,7,282,28.0
2025-05,1006,8,220,21.9
2025-05,1006,9,202,20.1
2025-05,1006,10,180,17.9
2025-05,1006,11,163,16.2
2025-05,1006,12,144,14.3
2025-06,920,0,920,100.0
2025-06,920,1,557,60.5
2025-06,920,2,490,53.3
2025-06,920,3,450,48.9
2025-06,920,4,401,43.6
2025-06,920,5,324,35.2
2025-06,920,6,298,32.4
2025-06,920,7,248,27.0
2025-06,920,8,205,22.3
2025-06,920,9,200,21.7
2025-06,920,10,164,17.8
2025-06,920,11,149,16.2
2025-06,920,12,131,14.2
2025-07,1159,0,1159,100.0
2025-07,1159,1,749,64.6
2025-07,1159,2,648,55.9
2025-07,1159,3,579,50.0
2025-07,1159,4,509,43.9
2025-07,1159,5,446,38.5
2025-07,1159,6,356,30.7
2025-07,1159,7,294,25.4
2025-07,1159,8,281,24.2
2025-07,1159,9,247,21.3
2025-07,1159,10,217,18.7
2025-07,1159,11,199,17.2
2025-07,1159,12,185,16.0
2025-08,1192,0,1192,100.0
2025-08,1192,1,759,63.7
2025-08,1192,2,657,55.1
2025-08,1192,3,587,49.2
2025-08,1192,4,545,45.7
2025-08,1192,5,430,36.1
2025-08,1192,6,353,29.6
2025-08,1192,7,342,28.7
2025-08,1192,8,288,24.2
2025-08,1192,9,265,22.2
2025-08,1192,10,240,20.1
2025-08,1192,11,218,18.3
2025-08,1192,12,198,16.6
2025-09,1394,0,1394,100.0
2025-09,1394,1,916,65.7
2025-09,1394,2,796,57.1
2025-09,1394,3,719,51.6
2025-09,1394,4,616,44.2
2025-09,1394,5,472,33.9
2025-09,1394,6,421,30.2
2025-09,1394,7,344,24.7
2025-09,1394,8,327,23.5
2025-09,1394,9,282,20.2
2025-09,1394,10,251,18.0
2025-09,1394,11,227,16.3
2025-10,1403,0,1403,100.0
2025-10,1403,1,904,64.4
2025-10,1403,2,806,57.4
2025-10,1403,3,692,49.3
2025-10,1403,4,570,40.6
2025-10,1403,5,474,33.8
2025-10,1403,6,397,28.3
2025-10,1403,7,357,25.4
2025-10,1403,8,308,22.0
2025-10,1403,9,266,19.0
2025-10,1403,10,245,17.5
2025-11,1543,0,1543,100.0
2025-11,1543,1,1047,67.9
2025-11,1543,2,853,55.3
2025-11,1543,3,750,48.6
2025-11,1543,4,659,42.7
2025-11,1543,5,505,32.7
2025-11,1543,6,436,28.3
2025-11,1543,7,380,24.6
2025-11,1543,8,343,22.2
2025-11,1543,9,319,20.7
2025-12,1940,0,1940,100.0
2025-12,1940,1,1254,64.6
2025-12,1940,2,1073,55.3
2025-12,1940,3,932,48.0
2025-12,1940,4,796,41.0
2025-12,1940,5,648,33.4
2025-12,1940,6,514,26.5
2025-12,1940,7,493,25.4
2025-12,1940,8,428,22.1
2026-01,1440,0,1440,100.0
2026-01,1440,1,915,63.5
2026-01,1440,2,796,55.3
2026-01,1440,3,692,48.1
2026-01,1440,4,632,43.9
2026-01,1440,5,491,34.1
2026-01,1440,6,429,29.8
2026-01,1440,7,360,25.0
2026-02,1213,0,1213,100.0
2026-02,1213,1,798,65.8
2026-02,1213,2,619,51.0
2026-02,1213,3,570,47.0
2026-02,1213,4,499,41.1
2026-02,1213,5,402,33.1
2026-02,1213,6,340,28.0
2026-03,1300,0,1300,100.0
2026-03,1300,1,816,62.8
2026-03,1300,2,678,52.2
2026-03,1300,3,601,46.2
2026-03,1300,4,558,42.9
2026-03,1300,5,469,36.1
2026-04,1131,0,1131,100.0
2026-04,1131,1,696,61.5
2026-04,1131,2,589,52.1
2026-04,1131,3,581,51.4
2026-04,1131,4,504,44.6
2026-05,1161,0,1161,100.0
2026-05,1161,1,720,62.0
2026-05,1161,2,656,56.5
2026-05,1161,3,561,48.3
2026-06,1120,0,1120,100.0
2026-06,1120,1,709,63.3
2026-06,1120,2,611,54.6
2026-07,1318,0,1318,100.0
2026-07,1318,1,852,64.6
2026-08,1512,0,1512,100.0
