week_start,country,kw_generic,kw_iphone,kw_samsung
2025-11-30,IT,3,74,27
2025-12-07,IT,3,78,25
2025-12-14,IT,3,83,24
2025-12-21,IT,4,100,25
2025-12-28,IT,5,80,23
2026-01-04,IT,2,70,19
2026-01-11,IT,2,64,16
2026-01-18,IT,2,59,18
2026-01-25,IT,2,51,19
2026-02-01,IT,2,55,20
2026-02-08,IT,2,65,22
2026-02-15,IT,2,65,27
2026-02-22,IT,2,58,22
2026-03-01,IT,2,48,22
2026-03-08,IT,2,51,22
2026-03-15,IT,2,50,20
2026-03-22,IT,2,52,19
2026-03-29,IT,2,47,20
2026-04-05,IT,2,42,15
2026-04-12,IT,2,48,18
2026-04-19,IT,2,43,16
2026-04-26,IT,2,43,16
2026-05-03,IT,2,47,17
2026-05-10,IT,2,45,19
2026-05-17,IT,3,43,18
2026-05-24,IT,2,37,17
2026-05-31,IT,2,40,17
2026-06-07,IT,2,40,16
2026-06-14,IT,2,46,17
2026-06-21,IT,2,44,16
2026-06-28,IT,2,48,18
2026-07-05,IT,3,50,17
2026-07-12,IT,2,50,19
2026-07-19,IT,3,47,20
2026-07-26,IT,3,51,24
2026-08-02,IT,2,53,19
2026-08-09,IT,2,54,20
2026-08-16,IT,3,59,21
2026-08-23,IT,2,59,22
2026-08-30,IT,3,53,21
2026-09-06,IT,3,68,23
2026-09-13,IT,2,72,20
